ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,30,4,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Color) (this[""SelectedRoomOutline""]));"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,256,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""xbutton"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,255,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap xbutton
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,246,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""swimage1"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,245,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap swimage1
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,236,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""swimage"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,235,8,T:System.Drawing.Bitmap,,,,,public static System.Drawing.Bitmap swimage
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,ZeldaFullEditor\ZeldaFullEditor.csproj,File,ZeldaFullEditor\Properties\Resources.Designer.cs,226,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""starn"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
